season_name,census_date_start,census_date_end,census_days,surveyed_san_telmo,header_notes,research_program,header_id
2015/16,2015-12-11,2015-12-11,1,TRUE,,USAMLR,69
2015/16,2015-12-18,2015-12-18,1,TRUE,,USAMLR,70
2015/16,2015-12-25,2015-12-25,1,TRUE,,USAMLR,71
2015/16,2016-01-01,2016-01-01,1,TRUE,,USAMLR,72
2015/16,2016-01-09,2016-01-09,1,TRUE,,USAMLR,73
2015/16,2016-01-15,2016-01-15,1,TRUE,,USAMLR,74
2015/16,2016-01-22,2016-01-22,1,TRUE,,USAMLR,75
2015/16,2016-01-29,2016-01-29,1,TRUE,,USAMLR,76
2015/16,2016-02-05,2016-02-05,1,TRUE,,USAMLR,77
2015/16,2016-02-12,2016-02-12,1,TRUE,,USAMLR,78
2015/16,2016-02-19,2016-02-19,1,TRUE,,USAMLR,79
2015/16,2016-02-26,2016-02-26,1,TRUE,,USAMLR,80
2015/16,2016-03-04,2016-03-04,1,TRUE,,USAMLR,81
2015/16,2016-03-11,2016-03-11,1,TRUE,,USAMLR,82
2016/17,2016-11-04,2016-11-04,1,TRUE,,USAMLR,83
2016/17,2016-11-11,2016-11-11,1,TRUE,,USAMLR,84
2016/17,2016-11-18,2016-11-18,1,TRUE,,USAMLR,85
2016/17,2016-11-25,2016-11-25,1,TRUE,,USAMLR,86
2016/17,2016-12-02,2016-12-02,1,TRUE,,USAMLR,87
2016/17,2016-12-09,2016-12-09,1,TRUE,,USAMLR,88
2016/17,2016-12-16,2016-12-16,1,TRUE,,USAMLR,89
2016/17,2016-12-23,2016-12-23,1,TRUE,,USAMLR,90
2016/17,2016-12-30,2016-12-30,1,TRUE,,USAMLR,91
2016/17,2017-01-07,2017-01-07,1,TRUE,,USAMLR,92
2016/17,2017-01-13,2017-01-13,1,TRUE,,USAMLR,93
2016/17,2017-01-20,2017-01-20,1,TRUE,,USAMLR,94
2016/17,2017-01-27,2017-01-27,1,TRUE,,USAMLR,95
2016/17,2017-02-03,2017-02-03,1,TRUE,,USAMLR,96
2016/17,2017-02-10,2017-02-10,1,TRUE,,USAMLR,97
2016/17,2017-02-17,2017-02-18,2,TRUE,,USAMLR,98
2016/17,2017-02-24,2017-02-24,1,TRUE,,USAMLR,99
2016/17,2017-03-03,2017-03-03,1,TRUE,,USAMLR,100
2016/17,2017-03-10,2017-03-10,1,TRUE,,USAMLR,101
2017/18,2017-11-03,2017-11-03,1,TRUE,,USAMLR,102
2017/18,2017-11-10,2017-11-10,1,TRUE,,USAMLR,103
2017/18,2017-11-17,2017-11-17,1,TRUE,,USAMLR,104
2017/18,2017-11-24,2017-11-24,1,TRUE,,USAMLR,105
2017/18,2017-12-01,2017-12-01,1,TRUE,,USAMLR,106
2017/18,2017-12-09,2017-12-09,1,TRUE,,USAMLR,107
