"season_name","census_date_start","census_date_end","surveyed_san_telmo","observer","census_date","time_start","time_end","location","location_group","species","total_count","total_count_nodead","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","header_notes","census_notes","census_phocid_header_id","census_id","research_program","notes"
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Modulo",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Nibaldo",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Papua",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Paulina, Playa",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Roquerio",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Schiappacasse, Playa",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Alcazar",,"Weddell seal",4,,0,3,,0,1,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Aranda",,"Weddell seal",2,,1,1,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Ballena Norte",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Chungungo",,"Weddell seal",1,,1,0,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"del Canal, Playa",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"del Lobero, Playa",,"Weddell seal",1,,0,0,,0,1,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Larga",,"Weddell seal",1,,0,1,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Maderas",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Marko",,"Weddell seal",1,,0,1,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Media Luna",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Modulo",,"Weddell seal",1,,1,0,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Nibaldo",,"Weddell seal",1,,0,0,,0,1,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Papua",,"Weddell seal",1,,1,0,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Paulina, Playa",,"Weddell seal",1,,0,1,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Roquerio",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Schiappacasse, Playa",,"Weddell seal",0,,0,0,,0,0,,0,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Aranda",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Bahamonde",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Ballena Norte",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Chungungo",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"del Canal, Playa",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
