count_id,event_id,location,species,species_common,total_count,ad_female_count,ad_male_count,ad_unk_count,juv_female_count,juv_male_count,juv_unk_count,pup_count,unk_female_count,unk_male_count,unk_unk_count
27-1-231413,27,Core census locations,Mirounga leonina,Southern elephant seal,193,172,4,0,0,9,6,2,,,0
27-1-231417,27,Core census locations,Hydrurga leptonyx,Leopard seal,10,7,0,2,1,0,0,0,,,
27-1-195932,27,Core census locations,Leptonychotes weddellii,Weddell seal,28,10,7,3,7,1,0,0,,,
27-2-344008,27,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
27-2-231413,27,Punta San Telmo,Mirounga leonina,Southern elephant seal,0,0,0,0,0,0,0,0,,,0
27-2-231417,27,Punta San Telmo,Hydrurga leptonyx,Leopard seal,6,5,0,0,0,0,1,0,,,
27-2-195932,27,Punta San Telmo,Leptonychotes weddellii,Weddell seal,10,2,3,3,1,0,0,1,,,
28-1-344008,28,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
28-1-231413,28,Core census locations,Mirounga leonina,Southern elephant seal,107,91,3,0,6,4,2,1,,,0
28-1-231417,28,Core census locations,Hydrurga leptonyx,Leopard seal,9,7,0,1,1,0,0,0,,,
28-1-195932,28,Core census locations,Leptonychotes weddellii,Weddell seal,4,1,1,0,1,1,0,0,,,
28-2-344008,28,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
28-2-231413,28,Punta San Telmo,Mirounga leonina,Southern elephant seal,5,0,0,0,1,0,4,0,,,0
28-2-231417,28,Punta San Telmo,Hydrurga leptonyx,Leopard seal,4,3,1,0,0,0,0,0,,,
28-2-195932,28,Punta San Telmo,Leptonychotes weddellii,Weddell seal,3,1,1,0,0,1,0,0,,,
29-1-344008,29,Core census locations,Lobodon carcinophaga,Crabeater seal,2,0,0,0,0,1,1,0,,,
29-1-231413,29,Core census locations,Mirounga leonina,Southern elephant seal,66,51,1,0,0,12,1,1,,,0
29-1-231417,29,Core census locations,Hydrurga leptonyx,Leopard seal,9,9,0,0,0,0,0,0,,,
29-1-195932,29,Core census locations,Leptonychotes weddellii,Weddell seal,16,4,4,2,1,4,1,0,,,
29-2-344008,29,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
29-2-231413,29,Punta San Telmo,Mirounga leonina,Southern elephant seal,0,0,0,0,0,0,0,0,,,0
29-2-231417,29,Punta San Telmo,Hydrurga leptonyx,Leopard seal,4,4,0,0,0,0,0,0,,,
29-2-195932,29,Punta San Telmo,Leptonychotes weddellii,Weddell seal,5,0,0,1,2,1,1,0,,,
30-1-344008,30,Core census locations,Lobodon carcinophaga,Crabeater seal,3,0,1,2,0,0,0,0,,,
30-1-231413,30,Core census locations,Mirounga leonina,Southern elephant seal,58,12,6,0,0,3,0,35,,,2
30-1-231417,30,Core census locations,Hydrurga leptonyx,Leopard seal,1,0,0,1,0,0,0,0,,,
30-1-195932,30,Core census locations,Leptonychotes weddellii,Weddell seal,20,9,0,4,1,1,1,4,,,
30-2-344008,30,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
30-2-231413,30,Punta San Telmo,Mirounga leonina,Southern elephant seal,0,0,0,0,0,0,0,0,,,0
30-2-231417,30,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
30-2-195932,30,Punta San Telmo,Leptonychotes weddellii,Weddell seal,3,1,2,0,0,0,0,0,,,
31-1-344008,31,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
31-1-231413,31,Core census locations,Mirounga leonina,Southern elephant seal,49,6,5,0,0,7,0,29,,,2
31-1-231417,31,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
31-1-195932,31,Core census locations,Leptonychotes weddellii,Weddell seal,18,6,3,2,2,4,0,1,,,
31-2-344008,31,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
31-2-231413,31,Punta San Telmo,Mirounga leonina,Southern elephant seal,0,0,0,0,0,0,0,0,,,0
31-2-231417,31,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
31-2-195932,31,Punta San Telmo,Leptonychotes weddellii,Weddell seal,8,6,2,0,0,0,0,0,,,
32-1-344008,32,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
32-1-231413,32,Core census locations,Mirounga leonina,Southern elephant seal,55,3,3,0,3,7,9,29,,,1
32-1-231417,32,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
32-1-195932,32,Core census locations,Leptonychotes weddellii,Weddell seal,31,13,9,1,2,3,1,2,,,
32-2-344008,32,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
32-2-231413,32,Punta San Telmo,Mirounga leonina,Southern elephant seal,11,0,0,0,1,0,4,1,,,5
32-2-231417,32,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
