"header_id","season_name","week","census_date","location","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_male_count","pup_female_count","pup_unk_count","unk_unk_count","notes","research_program"
"1997/98-03","1997/98",3,1997-12-24,"Roquerio","Weddell seal",1,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-04","1997/98",4,1998-01-01,"Alcazar","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-04","1997/98",4,1998-01-01,"Alcazar","Elephant seal",0,0,NA,0,1,NA,0,0,NA,0,NA,"INACH"
"1997/98-04","1997/98",4,1998-01-01,"Alcazar","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-04","1997/98",4,1998-01-01,"Alcazar","Weddell seal",8,7,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-04","1997/98",4,1998-01-01,"Aranda","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-04","1997/98",4,1998-01-01,"Aranda","Elephant seal",0,1,NA,9,0,NA,0,0,NA,1,NA,"INACH"
"1997/98-04","1997/98",4,1998-01-01,"Aranda","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-04","1997/98",4,1998-01-01,"Aranda","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-04","1997/98",4,1998-01-01,"Bahamonde","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
