header_id,season_name,species,location,time_start,time_end,total_count,ad_female_count,ad_male_count,ad_unk_count,juv_female_count,juv_male_count,juv_unk_count,pup_live_count,pup_dead_count,unk_female_count,unk_male_count,unk_unk_count,census_notes,orig_record
3/9/2002,2002/03,Leopard seal,Cape Shirreff core locations,,,1,0,0,1,0,0,0,0,0,0,0,0,,TRUE
3/9/2002,2002/03,Weddell seal,Cape Shirreff core locations,,,8,2,5,0,1,0,0,0,0,0,0,0,,TRUE
3/10/2002,2002/03,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/10/2002,2002/03,Elephant seal,Cape Shirreff core locations,,,185,46,3,0,7,25,0,1,0,0,0,103,"pups: 0 females, 0 males, 1 unknowns",TRUE
3/10/2002,2002/03,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/10/2002,2002/03,Weddell seal,Cape Shirreff core locations,,,11,4,6,0,1,0,0,0,0,0,0,0,,TRUE
4/1/2003,2003/04,Crabeater seal,Cape Shirreff core locations,,,2,0,0,0,0,1,1,0,0,0,0,0,,TRUE
4/1/2003,2003/04,Elephant seal,Cape Shirreff core locations,,,31,4,2,0,3,8,0,1,0,0,0,13,"pups: 0 females, 0 males, 1 unknowns",TRUE
4/1/2003,2003/04,Leopard seal,Cape Shirreff core locations,,,1,1,0,0,0,0,0,0,0,0,0,0,,TRUE
4/1/2003,2003/04,Weddell seal,Cape Shirreff core locations,,,19,5,5,1,2,4,0,2,0,0,0,0,"pups: 0 females, 0 males, 1 unknowns; pups: 1 females, 0 males, 0 unknowns",TRUE
4/2/2003,2003/04,Crabeater seal,Cape Shirreff core locations,,,1,0,0,0,1,0,0,0,0,0,0,0,,TRUE
4/2/2003,2003/04,Elephant seal,Cape Shirreff core locations,,,31,4,3,0,6,6,0,0,0,0,0,12,,TRUE
4/2/2003,2003/04,Leopard seal,Cape Shirreff core locations,,,1,0,0,1,0,0,0,0,0,0,0,0,,TRUE
4/2/2003,2003/04,Weddell seal,Cape Shirreff core locations,,,23,7,10,2,1,0,0,3,0,0,0,0,"pups: 0 females, 1 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns",TRUE
4/3/2003,2003/04,Crabeater seal,Cape Shirreff core locations,,,1,0,0,0,0,0,1,0,0,0,0,0,,TRUE
4/3/2003,2003/04,Elephant seal,Cape Shirreff core locations,,,29,8,2,0,0,10,0,0,0,0,0,9,,TRUE
4/3/2003,2003/04,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
4/3/2003,2003/04,Weddell seal,Cape Shirreff core locations,,,16,7,3,3,1,2,0,0,0,0,0,0,,TRUE
4/4/2003,2003/04,Crabeater seal,Cape Shirreff core locations,,,1,0,0,0,1,0,0,0,0,0,0,0,,TRUE
4/4/2003,2003/04,Elephant seal,Cape Shirreff core locations,,,24,7,2,0,3,2,0,4,0,0,0,6,"pups: 1 females, 0 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns; pups: 0 females, 1 males, 1 unknowns",TRUE
4/4/2003,2003/04,Leopard seal,Cape Shirreff core locations,,,5,2,0,3,0,0,0,0,0,0,0,0,,TRUE
4/4/2003,2003/04,Weddell seal,Cape Shirreff core locations,,,9,7,1,0,0,1,0,0,0,0,0,0,,TRUE
4/5/2003,2003/04,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
4/5/2003,2003/04,Elephant seal,Cape Shirreff core locations,,,21,7,1,0,7,2,0,0,0,0,0,4,,TRUE
4/5/2003,2003/04,Leopard seal,Cape Shirreff core locations,,,6,3,0,3,0,0,0,0,0,0,0,0,,TRUE
4/5/2003,2003/04,Weddell seal,Cape Shirreff core locations,,,21,6,4,0,4,4,0,3,0,0,0,0,"pups: 1 females, 0 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns",TRUE
4/6/2003,2003/04,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
4/6/2003,2003/04,Elephant seal,Cape Shirreff core locations,,,9,3,0,0,2,2,0,1,0,0,0,1,"pups: 1 females, 0 males, 0 unknowns",TRUE
4/6/2003,2003/04,Leopard seal,Cape Shirreff core locations,,,4,2,0,2,0,0,0,0,0,0,0,0,,TRUE
4/6/2003,2003/04,Weddell seal,Cape Shirreff core locations,,,6,3,2,0,1,0,0,0,0,0,0,0,,TRUE
4/7/2003,2003/04,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
4/7/2003,2003/04,Elephant seal,Cape Shirreff core locations,,,7,2,0,0,1,1,0,1,0,0,0,2,"pups: 0 females, 1 males, 0 unknowns",TRUE
4/7/2003,2003/04,Leopard seal,Cape Shirreff core locations,,,2,1,0,1,0,0,0,0,0,0,0,0,,TRUE
4/7/2003,2003/04,Weddell seal,Cape Shirreff core locations,,,4,2,1,0,0,1,0,0,0,0,0,0,,TRUE
4/8/2003,2003/04,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
4/8/2003,2003/04,Elephant seal,Cape Shirreff core locations,,,21,2,2,0,3,3,0,4,0,0,0,7,"pups: 0 females, 1 males, 0 unknowns; pups: 1 females, 0 males, 0 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 1 males, 0 unknowns",TRUE
4/8/2003,2003/04,Leopard seal,Cape Shirreff core locations,,,2,1,0,1,0,0,0,0,0,0,0,0,,TRUE
4/8/2003,2003/04,Weddell seal,Cape Shirreff core locations,,,9,3,2,0,2,2,0,0,0,0,0,0,,TRUE
5/1/2004,2004/05,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
5/1/2004,2004/05,Elephant seal,Cape Shirreff core locations,,,117,17,0,0,6,18,0,6,0,0,0,70,"pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 0 males, 3 unknowns",TRUE
5/1/2004,2004/05,Leopard seal,Cape Shirreff core locations,,,1,0,0,1,0,0,0,0,0,0,0,0,,TRUE
5/1/2004,2004/05,Weddell seal,Cape Shirreff core locations,,,18,1,4,0,4,8,0,1,0,0,0,0,"pups: 0 females, 1 males, 0 unknowns",TRUE
5/2/2004,2004/05,Crabeater seal,Cape Shirreff core locations,,,1,0,0,0,0,1,0,0,0,0,0,0,,TRUE
5/2/2004,2004/05,Elephant seal,Cape Shirreff core locations,,,92,2,0,0,1,11,0,19,0,0,0,59,"pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 1 males, 6 unknowns; pups: 0 females, 2 males, 9 unknowns",TRUE
5/2/2004,2004/05,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
5/2/2004,2004/05,Weddell seal,Cape Shirreff core locations,,,8,4,0,0,1,0,1,2,0,0,0,0,"pups: 0 females, 1 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns",TRUE
5/3/2004,2004/05,Crabeater seal,Cape Shirreff core locations,,,2,0,0,0,0,2,0,0,0,0,0,0,,TRUE
5/3/2004,2004/05,Elephant seal,Cape Shirreff core locations,,,153,8,3,0,8,14,0,7,0,0,0,113,"pups: 0 females, 0 males, 3 unknowns; pups: 1 females, 0 males, 0 unknowns; pups: 1 females, 1 males, 0 unknowns; pups: 0 females, 0 males, 1 unknowns",TRUE
5/3/2004,2004/05,Leopard seal,Cape Shirreff core locations,,,1,1,0,0,0,0,0,0,0,0,0,0,,TRUE
5/3/2004,2004/05,Weddell seal,Cape Shirreff core locations,,,21,8,7,2,0,1,1,2,0,0,0,0,"pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 0 males, 1 unknowns",TRUE
5/4/2004,2004/05,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
5/4/2004,2004/05,Elephant seal,Cape Shirreff core locations,,,184,12,0,0,17,4,0,3,0,0,0,148,"pups: 1 females, 0 males, 0 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 1 females, 0 males, 0 unknowns",TRUE
