"header_id","season_name","census_date","location","location_group","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_live_count","unk_unk_count","notes","research_program"
"1997/98-03","1997/98",1997-12-24,"Roquerio","Roquerio","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Roquerio","Roquerio","Elephant seal",0,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Roquerio","Roquerio","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Roquerio","Roquerio","Weddell seal",1,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"del Canal, Playa","del Canal, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"del Canal, Playa","del Canal, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"del Canal, Playa","del Canal, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"del Canal, Playa","del Canal, Playa","Weddell seal",1,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-04","1997/98",1998-01-01,"Alcazar","Alcazar","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-04","1997/98",1998-01-01,"Alcazar","Alcazar","Elephant seal",0,0,NA,0,1,NA,0,0,NA,"INACH"
"1997/98-04","1997/98",1998-01-01,"Alcazar","Alcazar","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-04","1997/98",1998-01-01,"Alcazar","Alcazar","Weddell seal",8,7,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-04","1997/98",1998-01-01,"Aranda","Aranda","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-04","1997/98",1998-01-01,"Aranda","Aranda","Elephant seal",0,1,NA,9,0,NA,0,1,NA,"INACH"
"1997/98-04","1997/98",1998-01-01,"Aranda","Aranda","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-04","1997/98",1998-01-01,"Aranda","Aranda","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-04","1997/98",1998-01-01,"Bahamonde","Bahamonde","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-04","1997/98",1998-01-01,"Bahamonde","Bahamonde","Elephant seal",7,1,NA,0,0,NA,0,0,NA,"INACH"
